rating,release_date,budget,director,movie_title,domestic_total_gross,runtime
PG-13,1997-12-19 00:00:00,200,James Cameron,Titanic,600788188,194
PG-13,1997-07-02 00:00:00,90,Barry Sonnenfeld,Men in Black,250690539,97
PG-13,1997-05-23 00:00:00,73,Steven Spielberg,The Lost World: Jurassic Park,229086679,129
R,1997-07-25 00:00:00,85,Wolfgang Petersen,Air Force One,172956409,124
PG-13,1997-12-23 00:00:00,50,James L. Brooks,As Good as It Gets,148478011,139
PG-13,1997-06-20 00:00:00,38,P.J. Hogan,My Best Friend's Wedding,127120029,105
R,1997-06-27 00:00:00,80,John Woo,Face/Off,112276146,138
PG-13,1997-06-20 00:00:00,125,Joel Schumacher,Batman and Robin,107325195,125
PG,1997-07-18 00:00:00,55,,George of the Jungle,105263257,92
R,1997-12-12 00:00:00,24,Wes Craven,Scream 2,101363301,120
R,1997-06-06 00:00:00,75,Simon West,Con Air,101117573,115
PG,1997-07-11 00:00:00,90,Robert Zemeckis,Contact,100920329,150
G,1997-06-15 00:00:00,85,,Hercules,99112101,92
PG-13,1997-02-07 00:00:00,116,Roger Donaldson,Dante's Peak,67127760,109
PG-13,1997-09-19 00:00:00,35,Frank Oz,In & Out,63856929,92
PG,1997-12-19 00:00:00,38,Gore Verbinski,Mouse Hunt,61917389,97
R,1997-10-03 00:00:00,27,,Kiss the Girls,60527873,117
R,1997-11-14 00:00:00,60,Michael Caton-Jones,The Jackal,54930280,125
PG-13,1997-08-01 00:00:00,40,-1,Spawn,54870175,93
R,1997-11-07 00:00:00,105,Paul Verhoeven,Starship Troopers,54814377,130
R,1997-05-02 00:00:00,36,,Breakdown,50159144,93
PG-13,1997-04-25 00:00:00,90,,Volcano,49323468,104
PG-13,1997-06-13 00:00:00,160,Jan DeBont,Speed 2: Cruise Control,48608066,121
R,1997-11-26 00:00:00,75,Jean-Pierre Jeunet,Alien Resurrection,47795658,109
PG-13,1997-10-17 00:00:00,18,,Bean,45319423,90
R,1997-08-15 00:00:00,15,James Mangold,Cop Land,44862187,105
R,1997-07-18 00:00:00,25,Steve Oedekerk,Nothing to Lose,44480039,97
R,1997-12-10 00:00:00,36,Steven Spielberg,Amistad,44229441,152
R,1997-03-28 00:00:00,90,Alan J. Pakula,The Devil's Own,42868348,111
R,1997-09-26 00:00:00,50,,The Peacemaker,41263140,124
R,1997-03-07 00:00:00,28,Betty Thomas,Private Parts,41230799,108
R,1997-12-25 00:00:00,12,Quentin Tarantino,Jackie Brown,39673162,151
PG-13,1997-12-12 00:00:00,35,,For Richer or Poorer,31642995,116
PG,1997-12-12 00:00:00,32,Raja Gosnell,Home Alone 3,30882515,102
R,1997-12-25 00:00:00,25,,An American Werewolf in Paris,26570463,98
R,1997-10-10 00:00:00,15,Paul Thomas Anderson,Boogie Nights,26400640,152
R,1997-08-22 00:00:00,30,Guillermo del Toro,Mimic,25480490,105
R,1997-11-21 00:00:00,35,Clint Eastwood,Midnight in the Garden of Good & Evil,25105255,155
PG,1997-12-25 00:00:00,30,,Mr. Magoo,21437192,88
R,1997-12-25 00:00:00,80,Kevin Costner,The Postman,17626234,177
