rating,release_date,budget,director,movie_title,domestic_total_gross,runtime
PG-13,1997-12-19 00:00:00,200,James Cameron,Titanic,600788188,194
PG-13,2012-05-04 00:00:00,220,Joss Whedon,Marvel's The Avengers,623357910,142
PG,2013-11-22 00:00:00,150,Chris BuckJennifer Lee,Frozen,400738009,108
PG-13,2013-05-03 00:00:00,200,Shane Black,Iron Man 3,409013994,129
PG-13,2011-06-29 00:00:00,195,Michael Bay,Transformers: Dark of the Moon,352390543,154
PG-13,2003-12-17 00:00:00,94,Peter Jackson,The Lord of the Rings: The Return of the King,377027325,200
PG-13,2012-11-09 00:00:00,200,Sam Mendes,Skyfall,304360277,143
PG-13,2012-07-20 00:00:00,250,Christopher Nolan,The Dark Knight Rises,448139099,165
PG-13,2006-07-07 00:00:00,225,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest,423315812,151
G,2010-06-18 00:00:00,200,Lee Unkrich,Toy Story 3,415004880,103
PG-13,2011-05-20 00:00:00,250,Rob Marshall,Pirates of the Caribbean: On Stranger Tides,241071802,137
PG-13,1993-06-11 00:00:00,63,Steven Spielberg,Jurassic Park,357067947,127
PG,1999-05-19 00:00:00,115,George Lucas,Star Wars: Episode I - The Phantom Menace,431088295,133
PG,2010-03-05 00:00:00,200,Tim Burton,Alice in Wonderland,334191110,109
PG-13,2008-07-18 00:00:00,185,Christopher Nolan,The Dark Knight,533345358,150
G,1994-06-15 00:00:00,45,Roger AllersRob Minkoff,The Lion King,312855561,89
PG,2001-11-16 00:00:00,125,Chris Columbus,Harry Potter and the Sorcerer's Stone,317575550,153
PG,2013-07-03 00:00:00,76,Pierre CoffinChris Renaud,Despicable Me 2,368061265,98
PG-13,2007-05-25 00:00:00,300,Gore Verbinski,Pirates of the Caribbean: At World's End,309420425,168
PG-13,2007-07-11 00:00:00,150,David Yates,Harry Potter and the Order of the Phoenix,292004738,139
G,2003-05-30 00:00:00,94,Andrew StantonLee Unkrich,Finding Nemo,339714978,104
PG,2009-07-15 00:00:00,250,David Yates,Harry Potter and the Half-Blood Prince,301959197,153
PG-13,2002-12-18 00:00:00,94,Peter Jackson,The Lord of the Rings: The Two Towers,339789881,179
PG,2004-05-19 00:00:00,150,Andrew AdamsonKelly AsburyConrad Vernon,Shrek 2,441226247,93
PG-13,2005-11-18 00:00:00,150,Mike Newell,Harry Potter and the Goblet of Fire,290013036,153
PG-13,2007-05-04 00:00:00,258,Sam Raimi,Spider-Man 3,336530303,140
PG,2009-07-01 00:00:00,90,Carlos Saldanha,Ice Age: Dawn of the Dinosaurs,196573705,87
PG,2002-11-15 00:00:00,100,Chris Columbus,Harry Potter and the Chamber of Secrets,261988482,161
PG,2012-07-13 00:00:00,95,,Ice Age: Continental Drift,161321843,94
PG-13,2001-12-19 00:00:00,93,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,313364114,178
PG-13,2013-11-22 00:00:00,130,Francis Lawrence,The Hunger Games: Catching Fire,424668047,146
PG-13,2005-05-19 00:00:00,113,George Lucas,Star Wars: Episode III - Revenge of the Sith,380270577,146
PG-13,2009-06-24 00:00:00,200,Michael Bay,Transformers: Revenge of the Fallen,402111870,144
PG-13,2012-11-16 00:00:00,120,Bill Condon,The Twilight Saga: Breaking Dawn Part 2,292324737,116
PG-13,2010-07-16 00:00:00,160,Christopher Nolan,Inception,292576195,148
PG-13,2002-05-03 00:00:00,139,Sam Raimi,Spider-Man,403706375,121
PG-13,1996-07-03 00:00:00,75,Roland Emmerich,Independence Day,306169268,153
PG,2007-05-18 00:00:00,160,Chris Miller,Shrek the Third,322719944,92
PG,2004-06-04 00:00:00,130,Alfonso Cuaron,Harry Potter and the Prisoner of Azkaban,249541069,142
PG-13,2013-05-24 00:00:00,160,Justin Lin,Fast & Furious 6,238679850,130
PG-13,2008-05-22 00:00:00,185,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,317101119,120
PG-13,2004-06-30 00:00:00,200,Sam Raimi,Spider-Man 2,373585825,127
PG,1977-05-25 00:00:00,11,George Lucas,Star Wars,307263857,121
PG-13,2009-11-13 00:00:00,200,Roland Emmerich,2012,166112167,158
PG-13,2006-05-19 00:00:00,125,Ron Howard,The Da Vinci Code,217536138,149
PG-13,2012-07-03 00:00:00,230,Marc Webb,The Amazing Spider-Man,262030663,136
PG,2010-05-21 00:00:00,165,Mike Mitchell,Shrek Forever After,238736787,93
PG,2012-06-08 00:00:00,145,Eric DarnellTom McGrathConrad Vernon,Madagascar 3: Europ
