Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
The Dark Knight,150,2008-07-18 00:00:00,PG-13,533345358,Christopher Nolan,185000000
Iron Man,126,2008-05-02 00:00:00,PG-13,318412101,Jon Favreau,140000000
Indiana Jones and the Kingdom of the Crystal Skull,120,2008-05-22 00:00:00,PG-13,317101119,Steven Spielberg,185000000
Hancock,92,2008-07-02 00:00:00,PG-13,227946274,Peter Berg,150000000
WALL-E,97,2008-06-27 00:00:00,G,223808164,Andrew Stanton,180000000
Kung Fu Panda,91,2008-06-06 00:00:00,PG,215434591,,130000000
Twilight,120,2008-11-21 00:00:00,PG-13,192769854,Catherine Hardwicke,37000000
Madagascar: Escape 2 Africa,89,2008-11-07 00:00:00,PG,180010950,Eric DarnellTom McGrath,150000000
Quantum of Solace,106,2008-11-14 00:00:00,PG-13,168368427,Marc Forster,200000000
Dr. Seuss' Horton Hears a Who!,88,2008-03-14 00:00:00,G,154529439,Jimmy Hayward,85000000
Sex and the City,135,2008-05-30 00:00:00,R,152647258,Michael Patrick King,65000000
Gran Torino,116,2008-12-12 00:00:00,R,148095302,Clint Eastwood,33000000
Mamma Mia!,108,2008-07-18 00:00:00,PG-13,144130063,,52000000
Marley and Me,120,2008-12-25 00:00:00,PG,143153751,David Frankel,
The Chronicles of Narnia: Prince Caspian,140,2008-05-16 00:00:00,PG,141621490,Andrew Adamson,225000000
Slumdog Millionaire,120,2008-11-12 00:00:00,R,141319928,Danny Boyle,15000000
The Incredible Hulk,114,2008-06-13 00:00:00,PG-13,134806913,Louis Leterrier,150000000
Wanted,108,2008-06-27 00:00:00,R,134508551,Timur Bekmambetov,75000000
Get Smart,110,2008-06-20 00:00:00,PG-13,130319208,Peter Segal,80000000
The Curious Case of Benjamin Button,168,2008-12-25 00:00:00,PG-13,127509326,David Fincher,150000000
Four Christmases,82,2008-11-26 00:00:00,PG-13,120146040,Seth Gordon,80000000
Bolt,96,2008-11-21 00:00:00,PG,114053579,,150000000
Tropic Thunder,107,2008-08-13 00:00:00,R,110515313,Ben Stiller,92000000
Bedtime Stories,95,2008-12-25 00:00:00,PG,110101975,Adam Shankman,80000000
The Mummy: Tomb of the Dragon Emperor,114,2008-08-01 00:00:00,PG-13,102491776,Rob Cohen,145000000
Journey to the Center of the Earth,92,2008-07-11 00:00:00,PG,101704370,,60000000
Eagle Eye,118,2008-09-26 00:00:00,PG-13,101440743,D.J. Caruso,80000000
Step Brothers,95,2008-07-25 00:00:00,R,100468793,Adam McKay,65000000
You Don't Mess with the Zohan,113,2008-06-06 00:00:00,PG-13,100018837,Dennis Dugan,90000000
Yes Man,104,2008-12-19 00:00:00,PG-13,97690976,Peyton Reed,70000000
"10,000 B.C.",109,2008-03-07 00:00:00,PG-13,94784201,Roland Emmerich,105000000
Beverly Hills Chihuahua,85,2008-10-03 00:00:00,PG,94514402,Raja Gosnell,
High School Musical 3: Senior Year,100,2008-10-24 00:00:00,G,90559416,Kenny Ortega,11000000
Pineapple Express,105,2008-08-06 00:00:00,R,87341380,David Gordon Green,27000000
Valkyrie,120,2008-12-25 00:00:00,PG-13,83077833,Bryan Singer,75000000
21,123,2008-03-28 00:00:00,PG-13,81159365,Robert Luketic,35000000
